season,winslot,Aslot,Bslot,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,daynum,Aregion,Bregion,winner,teamA,teamB,Aminscore,Bminscore,Amaxscore,Bmaxscore,Aqvgscore,Bqvgscore,Astdscore,Bstdscore,Agamescore,Bgamescore
R,R1X5,X05,X12,05,12,VA Commonwealth,Akron,26,25,8,6,136,South,South,A,825,503,51.0,54.0,109.0,91.0,77.32352941176471,71.935483870967744,12.844592792838579,9.0551553089438883,88,42
F,R2Y3,R1Y3,R1Y6,03,06,Mississippi,Notre Dame,25,19,7,9,139,Midwest,Midwest,A,674,717,50.0,54.0,105.0,107.0,72.15625,78.535714285714292,14.186501892203729,12.684304538785446,59,56
K,R1Y7,Y07,Y10,07,10,Georgetown,Northern Iowa,21,21,9,9,137,Minneapolis,Minneapolis,A,603,714,48.0,45.0,87.0,91.0,66.666666666666671,65.433333333333337,9.6275068885401947,11.306880894196929,54,49
P,R4X1,R3X1,R3X2,05,03,Arizona,Connecticut,27,26,7,9,145,West,West,B,511,559,49.0,56.0,107.0,97.0,76.529411764705884,73.400000000000006,10.887757004780907,9.8247500876976126,63,65
H,R1X1,X01,X16,01,16,Texas,UNC Asheville,22,13,6,16,137,South,South,A,793,814,57.0,50.0,100.0,99.0,78.857142857142861,71.206896551724142,9.8260378794386529,11.436117349160998,82,61
M,R3X1,R2X1,R2X4,01,12,Kansas,Villanova,30,20,3,12,144,Midwest,Midwest,A,636,829,59.0,53.0,109.0,103.0,81.181818181818187,72.84375,11.263926183078937,11.573432331745842,72,57
Q,R1W1,W01,W16,01,16,Syracuse,UNC Asheville,31,21,2,9,136,East,East,A,786,814,52.0,62.0,98.0,98.0,74.575757575757578,78.533333333333331,12.19296941741255,11.321758795444383,72,65
K,R1Y6,Y06,Y11,06,11,Oklahoma,WI Milwaukee,20,20,8,8,136,Minneapolis,Minneapolis,B,721,845,45.0,52.0,88.0,98.0,68.607142857142861,73.535714285714292,10.899997659614053,10.851208434538336,74,82
N,R3W2,R2W2,R2W3,02,03,Duke,Villanova,28,26,6,7,143,East,East,B,577,829,47.0,54.0,101.0,107.0,78.029411764705884,76.545454545454547,10.672904930429167,13.724763969027288,54,77
D,R1Y4,Y04,Y13,04,13,Ohio St,Murray St,23,26,8,5,136,South,South,A,720,687,59.0,51.0,99.0,108.0,75.516129032258064,79.451612903225808,9.8925549318730042,11.969958928642233,72,58
P,R4Y1,R3Y1,R3Y2,08,02,Butler,Florida,22,26,9,7,145,Southeast,Southeast,A,535,592,49.0,45.0,91.0,105.0,72.483870967741936,71.545454545454547,10.095898137816029,12.723376026851566,74,71
H,R1X2,X02,X15,02,15,Florida,Sam Houston St,24,21,7,6,137,South,South,A,592,751,55.0,56.0,99.0,85.0,75.903225806451616,71.777777777777771,11.64350805886067,8.2969576455975425,85,55
C,R2Z1,R1Z1,R1Z8,01,08,Duke,Oklahoma St,28,21,3,6,139,South,South,A,577,722,63.0,60.0,126.0,103.0,84.967741935483872,79.296296296296291,15.619433451721529,12.014851349444383,79,73
