season,winslot,Aslot,Bslot,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,daynum,Aregion,Bregion,winner,teamA,teamB,Aminscore,Bminscore,Amaxscore,Bmaxscore,Aqvgscore,Bqvgscore,Astdscore,Bstdscore,Agamescore,Bgamescore
F,R1Z5,Z05,Z12,05,12,Virginia,Gonzaga,20,23,8,6,137,South,South,B,830,607,56.0,61.0,117.0,105.0,84.964285714285708,82.551724137931032,14.78532608186031,10.506438770965072,85,86
Q,R1Z7,Z07,Z10,07,10,Florida,Virginia,23,22,10,9,137,West,West,A,592,830,56.0,45.0,107.0,86.0,76.272727272727266,63.064516129032256,12.738090640596182,9.7349900471177584,71,45
G,R1X4,X04,X13,04,13,Illinois,San Diego St,24,20,8,11,137,Midwest,Midwest,A,623,754,56.0,49.0,105.0,93.0,77.3125,73.967741935483872,12.151228075795467,10.31592527386581,93,64
K,R1Z3,Z03,Z14,03,14,North Carolina,Murray St,22,23,7,6,137,WashingtonDC,WashingtonDC,A,708,687,59.0,50.0,112.0,92.0,80.379310344827587,71.103448275862064,10.330449778582926,11.408843598162111,69,65
J,R1X4,X04,X13,04,13,Boston College,Penn,24,20,4,8,136,Chicago,Chicago,A,527,728,50.0,44.0,88.0,89.0,71.928571428571431,68.464285714285708,8.53534069714423,11.343601540884947,85,65
G,R3Y1,R2Y1,R2Y4,01,05,Duke,Indiana,29,19,3,11,143,South,South,B,577,625,60.0,49.0,108.0,88.0,89.71875,69.166666666666671,11.037533621126597,10.705398430490831,73,74
D,R6CH,R5WX,R5YZ,01,01,Duke,Connecticut,32,28,1,2,154,East,West,B,577,559,71.0,42.0,120.0,111.0,93.333333333333329,77.533333333333331,12.199519778593041,15.734745699318506,74,77
F,R1X4,X04,X13,04,13,Indiana,Kent,21,22,12,9,136,West,West,B,625,639,46.0,45.0,103.0,99.0,70.757575757575751,70.322580645161295,11.959604490851445,11.277688783966887,73,77
G,R1Z5,Z05,Z12,05,12,Miami FL,Missouri,24,21,7,11,136,West,West,B,668,676,58.0,60.0,102.0,117.0,74.677419354838705,79.5,10.142173517686,13.026415470113028,80,93
E,R1Z3,Z03,Z14,03,14,Ohio St,Appalachian St,22,20,6,8,137,South,South,A,720,510,51.0,47.0,99.0,102.0,72.607142857142861,76.285714285714292,11.191001760707719,14.007286733434604,87,61
H,R1W1,W01,W16,01,16,Oklahoma,S Carolina St,24,20,6,10,136,East,East,A,721,747,45.0,53.0,100.0,90.0,71.166666666666671,72.799999999999997,13.537807142304185,9.3644718662257365,71,54
D,R3X1,R2X1,R2X4,01,13,Michigan St,Oklahoma,29,19,4,10,144,Midwest,Midwest,A,671,721,51.0,50.0,96.0,102.0,72.333333333333329,70.827586206896555,12.039497288072079,13.681270775614076,54,46
B,R3X1,R2X1,R2X4,01,04,Kansas,Arizona,31,19,1,9,144,Southeast,Southeast,B,636,511,62.0,62.0,134.0,118.0,85.40625,85.107142857142861,14.424067073384677,13.294304058812678,82,85
F,R1Y4,Y04,Y13,04,13,Kansas,CS Northridge,22,20,6,9,137,Midwest,Midwest,A,636,565,53.0,66.0,101.0,103.0,80.928571428571431,82.896551724137936,12.023573783639049,9.9666506932082299,99,75
N,R1Y4,Y04,Y13,04,13,Wake Forest,Cleveland St,24,22,6,10,137,Midwest,Midwest,B,839,552,52.0,43.0,120.0,83.0,81.36666666666666,64.96875,13.197179833417271,9.3256513680010578,69,84
N,Y16,Y16a,Y16b,16,16,Alabama St,Morehead St,20,17,9,15,134,Midwest,Midwest,B,506,682,51.0,41.0,90.0,94.0,69.482758620689651,69.34375,9.4417294209788416,11.134432447929262,43,58
G,R1Z1,Z01,Z16,01,16,Cincinnati,Boston Univ,30,22,3,9,137,West,West,A,549,528,54.0,42.0,103.0,95.0,77.181818181818187,67.58064516129032,10.558508117338919,11.482874186533914,90,52
P,R2X2,R1X2,R1X7,02,07,San Diego St,Temple,30,25,2,7,138,West,West,A,754,789,51.0,50.0,96.0,96.0,71.03125,70.9375,11.043902092897238,10.703204835468673,71,64
N,R1X8,X08,X09,08,09,LSU,Butler,26,25,7,5,136,South,South,A,655,535,53.0,50.0,97.0,87.0,74.909090909090907,67.0,10.91388783424139,9.574271077563381,75,71
J,R5YZ,R4Y1,R4Z1,05,01,Michigan St,North Carolina,22,27,6,4,152,Austin,Syracuse,B,671,708,59.0,66.0,104.0,110.0,78.071428571428569,88.774193548387103,12.392188125210666,12.023390315223759,71,87
M,R1Z1,Z01,Z16,01,16,UCLA,MS Valley St,30,15,3,15,136,West,West,A,810,685,56.0,26.0,89.0,98.0,74.030303030303031,61.033333333333331,8.7680026006578231,14.110240568072852,70,29
K,R2X3,R1X3,R1X6,03,06,Gonzaga,Indiana,27,18,3,11,138,Oakland,Oakland,A,607,625,60.0,42.0,109.0,102.0,80.099999999999994,71.172413793103445,13.108139964668268,13.367662900259798,90,80
H,R3X1,R2X1,R2X4,01,05,Texas,Connecticut,22,21,6,9,144,South,South,A,793,559,57.0,56.0,100.0,117.0,78.857142857142861,80.033333333333331,9.8260378794386529,14.206766775808712,82,78
G,R2W4,R1W4,R1W5,04,12,Kentucky,Tulsa,19,25,9,6,138,East,East,A,640,802,51.0,59.0,101.0,104.0,75.142857142857139,80.161290322580641,13.160314492861499,9.284384302874086,87,82
H,R1W2,W02,W15,02,15,Wake Forest,ETSU,24,17,5,10,137,East,East,A,839,586,55.0,56.0,104.0,97.0,78.41379310344827,79.703703703703709,11.769385304252403,12.042562834210674,76,73
B,R1Y7,Y07,Y10,07,10,Xavier,Vanderbilt,22,18,5,11,136,Midwest,Midwest,A,853,827,62.0,46.0,113.0,92.0,83.333333333333329,69.931034482758619,12.174654911833116,12.362153128170197,80,68
N,R2Z2,R1Z2,R1Z7,02,10,Memphis,Maryland,31,20,3,13,138,West,West,A,666,662,51.0,44.0,108.0,91.0,74.058823529411768,71.454545454545453,12.999866914410605,11.165669541435479,89,70
K,R1Z7,Z07,Z10,07,10,Wichita St,Seton Hall,23,18,8,11,136,WashingtonDC,WashingtonDC,A,846,764,49.0,40.0,97.0,94.0,68.322580645161295,67.827586206896555,11.844114086818012,13.776714401149654,86,66
E,R1Y6,Y06,Y11,06,11,Indiana,Pepperdine,20,24,8,8,137,East,East,B,625,730,53.0,57.0,106.0,99.0,78.392857142857139,73.03125,11.452820256894576,10.504416853757281,57,77
A,R1W6,W06,W11,06,11,North Carolina,New Orleans,20,21,10,8,137,East,East,A,708,703,53.0,54.0,99.0,97.0,77.599999999999994,72.965517241379317,11.568923891183655,10.466639149091218,83,62
J,R3Y2,R2Y2,R2Y3,02,06,Kentucky,Utah,25,25,5,5,144,Austin,Austin,A,640,821,52.0,45.0,94.0,92.0,73.733333333333334,67.36666666666666,11.462790042374307,9.4144687700486962,62,52
G,R1Z4,Z04,Z13,04,13,Ohio St,Davidson,23,18,7,9,136,West,West,A,720,568,55.0,50.0,94.0,82.0,74.200000000000003,68.074074074074076,10.406408282079525,8.7132335534792134,69,64
A,R1X7,X07,X10,07,10,Michigan,Texas,20,20,11,9,137,Midwest,Midwest,B,670,793,46.0,58.0,88.0,110.0,71.193548387096769,82.517241379310349,10.510883314646316,12.127542576372841,76,80
K,R1Z8,Z08,Z09,08,09,Kentucky,UAB,21,23,12,6,137,WashingtonDC,WashingtonDC,A,640,805,46.0,37.0,81.0,90.0,70.454545454545453,73.931034482758619,9.0221643210380886,11.904594982126277,69,64
A,R3Y1,R2Y1,R2Y4,01,05,Connecticut,Mississippi St,30,22,2,7,144,Southeast,Southeast,B,559,675,63.0,53.0,116.0,123.0,83.5,74.517241379310349,11.070794912742265,15.471042337564125,55,60
K,R1Z4,Z04,Z13,04,13,Illinois,Air Force,25,22,6,6,136,WashingtonDC,WashingtonDC,A,623,502,48.0,50.0,93.0,81.0,69.967741935483872,63.5,11.607794575247471,8.7403007467052944,78,69
F,R1Y6,Y06,Y11,06,11,Notre Dame,Xavier,19,21,9,7,137,Midwest,Midwest,A,717,853,54.0,46.0,107.0,99.0,78.535714285714292,73.535714285714292,12.684304538785446,11.947749766788553,83,71
F,R3W2,R2W2,R2W3,02,06,Kentucky,USC,22,20,9,9,143,East,East,B,640,818,45.0,52.0,103.0,107.0,79.774193548387103,77.310344827586206,13.458921198725651,11.876094354730988,76,80
K,R6CH,R5WX,R5YZ,02,03,UCLA,Florida,27,27,6,6,154,Oakland,Minneapolis,B,810,592,50.0,49.0,86.0,113.0,68.575757575757578,79.272727272727266,9.2573649730504197,11.330497133367812,57,73
G,R2Y1,R1Y1,R1Y8,01,08,Duke,Notre Dame,29,20,3,10,138,South,South,A,577,717,60.0,51.0,108.0,116.0,89.71875,78.13333333333334,11.037533621126597,13.681455413157702,84,77
R,R2W4,R1W4,R1W5,04,12,Syracuse,California,26,20,9,11,138,East,East,A,786,539,39.0,47.0,108.0,85.0,71.342857142857142,67.548387096774192,14.565993384088367,8.7209007735307349,66,60
Q,R2Z3,R1Z3,R1Z6,03,06,Marquette,Murray St,25,27,7,1,138,West,West,A,660,687,57.0,54.0,99.0,90.0,75.9375,74.214285714285708,12.866957439503715,8.4445973551020135,62,53
