season,winslot,Aslot,Bslot,winner,teamA,teamB,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,Ascore,Bscore,daynum,Aregion,Bregion
A,R1W1,W01,W16,663,663,809,01,16,Massachusetts,UCF,31,10,1,18,92,70,136,East,East
A,R1W2,W02,W15,603,603,685,02,15,Georgetown,MS Valley St,24,18,7,6,93,56,137,East,East
A,R1W3,W03,W14,796,796,690,03,14,Texas Tech,N Illinois,28,19,1,9,74,73,137,East,East
A,R1W4,W04,W13,660,660,679,04,13,Marquette,Monmouth NJ,22,20,7,9,68,44,136,East,East
A,R1W5,W05,W12,515,729,515,05,12,Penn St,Arkansas,21,18,6,12,80,86,136,East,East
A,R1W6,W06,W11,708,708,703,06,11,North Carolina,New Orleans,20,21,10,8,83,62,137,East,East
A,R1W7,W07,W10,701,701,637,07,10,New Mexico,Kansas St,26,16,4,11,69,48,137,East,East
A,R1W8,W08,W09,783,530,783,08,09,Bradley,Stanford,22,19,7,8,58,66,136,East,East
A,R1X1,X01,X16,640,640,756,01,16,Kentucky,San Jose St,28,13,2,16,110,72,136,Midwest,Midwest
A,R1X2,X02,X15,839,839,812,02,15,Wake Forest,ULM,23,15,5,13,62,50,137,Midwest,Midwest
A,R1X3,X03,X14,829,829,732,03,14,Villanova,Portland,25,17,6,10,92,58,137,Midwest,Midwest
A,R1X4,X04,X13,821,821,541,04,13,Utah,Canisius,23,19,6,10,72,43,136,Midwest,Midwest
A,R1X5,X05,X12,629,629,539,05,12,Iowa St,California,22,17,8,10,74,64,136,Midwest,Midwest
A,R1X6,X06,X11,651,651,802,06,11,Louisville,Tulsa,19,22,11,7,82,80,137,Midwest,Midwest
A,R1X7,X07,X10,793,670,793,07,10,Michigan,Texas,20,20,11,9,76,80,137,Midwest,Midwest
A,R1X8,X08,X09,831,844,831,08,09,WI Green Bay,Virginia Tech,24,22,3,5,48,61,136,Midwest,Midwest
A,R1Y1,Y01,Y16,559,559,555,01,16,Connecticut,Colgate,30,15,2,14,68,59,136,Southeast,Southeast
A,R1Y2,Y02,Y15,549,549,815,02,15,Cincinnati,UNC Greensboro,25,20,4,9,66,61,137,Southeast,Southeast
A,R1Y3,Y03,Y14,606,606,519,03,14,Georgia Tech,Austin Peay,22,17,11,10,90,79,137,Southeast,Southeast
A,R1Y4,Y04,Y13,736,810,736,04,13,UCLA,Princeton,23,20,7,6,41,43,136,Southeast,Southeast
A,R1Y5,Y05,Y12,675,675,825,05,12,Mississippi St,VA Commonwealth,22,24,7,8,58,51,136,Southeast,Southeast
A,R1Y6,Y06,Y11,527,625,527,06,11,Indiana,Boston College,18,18,11,10,51,64,137,Southeast,Southeast
A,R1Y7,Y07,Y10,789,789,721,07,10,Temple,Oklahoma,19,17,12,12,61,43,137,Southeast,Southeast
A,R1Y8,Y08,Y09,581,577,581,08,09,Duke,E Michigan,18,22,12,5,60,75,136,Southeast,Southeast
A,R1Z1,Z01,Z16,738,738,833,01,16,Purdue,W Carolina,25,15,5,11,73,71,136,West,West
A,R1Z2,Z02,Z15,636,636,747,02,15,Kansas,S Carolina St,25,19,4,7,92,54,137,West,West
A,R1Z3,Z03,Z14,511,511,826,03,14,Arizona,Valparaiso,24,19,6,10,90,51,137,West,West
A,R1Z4,Z04,Z13,786,786,681,04,13,Syracuse,Montana St,24,19,8,8,88,55,136,West,West
A,R1Z5,Z05,Z12,576,666,576,05,12,Memphis,Drexel,22,25,7,3,63,75,136,West,West
A,R1Z6,Z06,Z11,628,628,599,06,11,Iowa,G Washington,22,21,8,7,81,79,137,West,West
A,R1Z7,Z07,Z10,758,662,758,07,10,Maryland,Santa Clara,17,19,12,8,79,91,137,West,West
A,R1Z8,Z08,Z09,604,604,551,08,09,Georgia,Clemson,19,18,9,10,81,74,136,West,West
A,R2W1,R1W1,R1W8,663,663,783,01,09,Massachusetts,Stanford,31,19,1,8,79,74,138,East,East
A,R2W2,R1W2,R1W7,603,603,701,02,07,Georgetown,New Mexico,24,26,7,4,73,62,139,East,East
A,R2W3,R1W3,R1W6,796,796,708,03,06,Texas Tech,North Carolina,28,20,1,10,92,73,139,East,East
A,R2W4,R1W4,R1W5,515,660,515,04,12,Marquette,Arkansas,22,18,7,12,56,65,138,East,East
A,R2X1,R1X1,R1X8,640,640,831,01,09,Kentucky,Virginia Tech,28,22,2,5,84,60,138,Midwest,Midwest
A,R2X2,R1X2,R1X7,839,839,793,02,10,Wake Forest,Texas,23,20,5,9,65,62,139,Midwest,Midwest
A,R2X3,R1X3,R1X6,651,829,651,03,06,Villanova,Louisville,25,19,6,11,64,68,139,Midwest,Midwest
A,R2X4,R1X4,R1X5,821,821,629,04,05,Utah,Iowa St,23,22,6,8,73,67,138,Midwest,Midwest
A,R2Y1,R1Y1,R1Y8,559,559,581,01,09,Connecticut,E Michigan,30,22,2,5,95,81,138,Southeast,Southeast
A,R2Y2,R1Y2,R1Y7,549,549,789,02,07,Cincinnati,Temple,25,19,4,12,78,65,139,Southeast,Southeast
A,R2Y3,R1Y3,R1Y6,606,606,527,03,11,Georgia Tech,Boston College,22,18,11,10,103,89,139,Southeast,Southeast
A,R2Y4,R1Y4,R1Y5,675,736,675,13,05,Princeton,Mississippi St,20,22,6,7,41,63,138,Southeast,Southeast
A,R2Z1,R1Z1,R1Z8,604,738,604,01,08,Purdue,Georgia,25,19,5,9,69,76,138,West,West
A,R2Z2,R1Z2,R1Z7,636,636,758,02,10,Kansas,Santa Clara,25,19,4,8,76,51,139,West,West
A,R2Z3,R1Z3,R1Z6,511,511,628,03,06,Arizona,Iowa,24,22,6,8,87,73,139,West,West
A,R2Z4,R1Z4,R1Z5,786,786,576,04,12,Syracuse,Drexel,24,25,8,3,69,58,138,West,West
A,R3W1,R2W1,R2W4,663,663,515,01,12,Massachusetts,Arkansas,31,18,1,12,79,63,143,East,East
A,R3W2,R2W2,R2W3,603,603,796,02,03,Georgetown,Texas Tech,24,28,7,1,98,90,143,East,East
A,R3X1,R2X1,R2X4,640,640,821,01,04,Kentucky,Utah,28,23,2,6,101,70,143,Midwest,Midwest
A,R3X2,R2X2,R2X3,839,839,651,02,06,Wake Forest,Louisville,23,19,5,11,60,59,143,Midwest,Midwest
A,R3Y1,R2Y1,R2Y4,675,559,675,01,05,Connecticut,Mississippi St,30,22,2,7,55,60,144,Southeast,Southeast
A,R3Y2,R2Y2,R2Y3,549,549,606,02,03,Cincinnati,Georgia Tech,25,22,4,11,87,70,144,Southeast,Southeast
A,R3Z1,R2Z1,R2Z4,786,604,786,08,04,Georgia,Syracuse,19,24,9,8,81,83,144,West,West
A,R3Z2,R2Z2,R2Z3,636,636,511,02,03,Kansas,Arizona,25,24,4,6,83,80,144,West,West
A,R4W1,R3W1,R3W2,663,663,603,01,02,Massachusetts,Georgetown,31,24,1,7,86,62,145,East,East
A,R4X1,R3X1,R3X2,640,640,839,01,02,Kentucky,Wake Forest,28,23,2,5,83,63,145,Midwest,Midwest
A,R4Y1,R3Y1,R3Y2,675,675,549,05,02,Mississippi St,Cincinnati,22,25,7,4,73,63,146,Southeast,Southeast
A,R4Z1,R3Z1,R3Z2,786,786,636,04,02,Syracuse,Kansas,24,25,8,4,60,57,146,West,West
A,R5WX,R4W1,R4X1,640,663,640,01,01,Massachusetts,Kentucky,31,28,1,2,74,81,152,East,Midwest
A,R5YZ,R4Y1,R4Z1,786,675,786,05,04,Mississippi St,Syracuse,22,24,7,8,69,77,152,Southeast,West
A,R6CH,R5WX,R5YZ,640,640,786,01,04,Kentucky,Syracuse,28,24,2,8,76,67,154,Midwest,West
B,R1W1,W01,W16,708,708,589,01,16,North Carolina,Fairfield,24,11,6,18,82,74,136,East,East
B,R1W2,W02,W15,560,769,560,02,15,South Carolina,Coppin St,23,21,7,8,65,78,137,East,East
B,R1W3,W03,W14,701,701,723,03,14,New Mexico,Old Dominion,23,22,7,10,59,55,137,East,East
B,R1W4,W04,W13,829,829,648,04,13,Villanova,Long Island,22,21,9,8,101,91,136,East,East
B,R1W5,W05,W12,539,539,736,05,12,California,Princeton,21,23,8,3,55,52,136,East,East
B,R1W6,W06,W11,651,651,663,06,11,Louisville,Massachusetts,23,18,8,13,65,57,137,East,East
B,R1W7,W07,W10,793,849,793,07,10,Wisconsin,Texas,18,16,9,11,58,71,137,East,East
B,R1W8,W08,W09,556,625,556,08,09,Indiana,Colorado,22,21,10,9,62,80,136,East,East
B,R1X1,X01,X16,636,636,632,01,16,Kansas,Jackson St,31,13,1,15,78,64,136,Southeast,Southeast
B,R1X2,X02,X15,577,577,687,02,15,Duke,Murray St,23,17,8,9,71,68,137,Southeast,Southeast
B,R1X3,X03,X14,547,604,547,03,14,Georgia,Chattanooga,24,18,8,10,70,73,137,Southeast,Southeast
B,R1X4,X04,X13,511,511,768,04,13,Arizona,South Alabama,19,21,9,6,65,57,136,Southeast,Southeast
B,R1X5,X05,X12,554,662,554,05,12,Maryland,Col Charleston,21,25,10,2,66,75,136,Southeast,Southeast
B,R1X6,X06,X11,623,623,818,06,11,Illinois,USC,21,17,9,10,90,77,137,Southeast,Southeast
