season,winslot,Aslot,Bslot,Aseed,Bseed,Aname,Bname,Awins,Bwins,Alosses,Blosses,daynum,Aregion,Bregion,winner,teamA,teamB,Aminscore,Bminscore,Amaxscore,Bmaxscore,Aqvgscore,Bqvgscore,Astdscore,Bstdscore
A,R1W1,W01,W16,01,16,Massachusetts,UCF,31,10,1,18,136,East,East,A,663,809,50.0,51.0,94.0,95.0,73.6875,74.0,9.573523058414807,11.058287131636359
A,R1W2,W02,W15,02,15,Georgetown,MS Valley St,24,18,7,6,137,East,East,A,603,685,56.0,63.0,113.0,113.0,81.838709677419359,85.791666666666671,13.137232914797861,12.223540017341767
A,R1W3,W03,W14,03,14,Texas Tech,N Illinois,28,19,1,9,137,East,East,A,796,690,62.0,49.0,101.0,115.0,81.827586206896555,73.571428571428569,9.878813852842864,15.270018643988459
A,R1W4,W04,W13,04,13,Marquette,Monmouth NJ,22,20,7,9,136,East,East,A,660,679,46.0,46.0,103.0,86.0,73.620689655172413,69.689655172413794,12.914610259123791,10.586600015165111
A,R1W5,W05,W12,05,12,Penn St,Arkansas,21,18,6,12,136,East,East,B,729,515,49.0,59.0,99.0,116.0,74.629629629629633,78.200000000000003,14.265078177787228,12.962510044997716
A,R1W6,W06,W11,06,11,North Carolina,New Orleans,20,21,10,8,137,East,East,A,708,703,53.0,54.0,99.0,97.0,77.599999999999994,72.965517241379317,11.568923891183655,10.466639149091218
A,R1W7,W07,W10,07,10,New Mexico,Kansas St,26,16,4,11,137,East,East,A,701,637,58.0,54.0,107.0,106.0,78.5,68.851851851851848,12.776932339180638,11.174387724394084
A,R1W8,W08,W09,08,09,Bradley,Stanford,22,19,7,8,136,East,East,B,530,783,46.0,56.0,110.0,99.0,71.65517241379311,75.592592592592595,11.123990421665598,11.583063175935928
A,R1X1,X01,X16,01,16,Kentucky,San Jose St,28,13,2,16,136,Midwest,Midwest,A,640,756,61.0,48.0,129.0,96.0,91.900000000000006,72.034482758620683,15.159925241680227,11.140119353724177
A,R1X2,X02,X15,02,15,Wake Forest,ULM,23,15,5,13,137,Midwest,Midwest,A,839,812,41.0,56.0,91.0,125.0,69.785714285714292,76.964285714285708,11.687469305863873,14.908008736574979
A,R1X3,X03,X14,03,14,Villanova,Portland,25,17,6,10,137,Midwest,Midwest,A,829,732,56.0,43.0,94.0,97.0,75.354838709677423,75.666666666666671,8.8081647866890691,12.768595734732815
A,R1X4,X04,X13,04,13,Utah,Canisius,23,19,6,10,136,Midwest,Midwest,A,821,541,56.0,52.0,108.0,82.0,76.41379310344827,66.551724137931032,11.439547981723724,7.7796649466748118
A,R1X5,X05,X12,05,12,Iowa St,California,22,17,8,10,136,Midwest,Midwest,A,629,539,46.0,53.0,87.0,112.0,66.86666666666666,76.037037037037038,10.42347777322372,15.732677673441541
A,R1X6,X06,X11,06,11,Louisville,Tulsa,19,22,11,7,137,Midwest,Midwest,A,651,802,54.0,55.0,119.0,141.0,76.766666666666666,76.275862068965523,13.96348412427532,17.585057433698996
